dataset,mistakes,total,config.EDGE_DETECTION.APERTURE,config.EDGE_DETECTION.HIGH_THRESHOLD,config.EDGE_DETECTION.LOW_THRESHOLD,config.LINE_DETECTION.THRESHOLD,config.LINE_REFINEMENT.LINE_THRESHOLD,config.MAX_OUTLIER_INTERSECTION_POINT_RATIO_PER_LINE,config.RANSAC.BEST_SOLUTION_TOLERANCE,config.RANSAC.OFFSET_TOLERANCE
VAL,13,146,3,500,140,150,3,0.5,0.1,0.05
VAL,22,146,3,500,110,100,3,0.5,0.1,0.05
VAL,3,146,3,450,110,200,3,0.5,0.1,0.05
VAL,146,146,3,400,80,50,3,0.7,0.1,0.05
VAL,15,146,3,450,90,200,3,0.7,0.1,0.15000000000000002
VAL,134,146,3,150,80,250,3,0.5,0.1,0.1
VAL,141,146,3,100,100,200,3,0.7,0.1,0.2
VAL,36,146,3,400,130,150,3,0.5,0.1,0.2
VAL,3,146,3,500,90,100,3,0.5,0.1,0.2
VAL,143,146,3,100,80,200,3,0.7,0.1,0.1
VAL,96,146,3,300,140,250,3,0.7,0.1,0.1
VAL,2,146,3,300,120,200,3,0.5,0.1,0.05
VAL,130,146,3,150,110,250,3,0.7,0.1,0.05
VAL,131,146,3,500,150,250,3,0.5,0.1,0.1
VAL,14,146,3,250,120,100,3,0.7,0.1,0.2
VAL,53,146,3,500,130,200,3,0.5,0.1,0.2
VAL,3,146,3,400,100,150,3,0.7,0.1,0.1
VAL,121,146,3,150,110,150,3,0.7,0.1,0.05
VAL,126,146,3,450,150,250,3,0.7,0.1,0.1
VAL,18,146,3,350,140,200,3,0.7,0.1,0.1
VAL,99,146,3,350,80,250,3,0.7,0.1,0.15000000000000002
VAL,64,146,3,350,110,200,3,0.5,0.1,0.2
VAL,48,146,3,300,140,200,3,0.7,0.1,0.2
VAL,4,146,3,500,80,150,3,0.7,0.1,0.1
VAL,57,146,3,250,100,200,3,0.5,0.1,0.1
VAL,3,146,3,300,120,200,3,0.7,0.1,0.05
VAL,24,146,3,300,140,100,3,0.5,0.1,0.05
VAL,12,146,3,450,80,100,3,0.7,0.1,0.1
VAL,92,146,3,250,140,250,3,0.7,0.1,0.1
VAL,3,146,3,500,80,100,3,0.7,0.1,0.15000000000000002
VAL,101,146,3,200,80,150,3,0.7,0.1,0.15000000000000002
VAL,9,146,3,250,130,100,3,0.5,0.1,0.15000000000000002
VAL,0,146,3,500,120,150,3,0.5,0.1,0.05
VAL,38,146,3,500,80,200,3,0.5,0.1,0.2
VAL,121,146,3,250,120,250,3,0.7,0.1,0.2
VAL,34,146,3,300,80,100,3,0.5,0.1,0.2
VAL,4,146,3,500,120,100,3,0.7,0.1,0.1
VAL,115,146,3,200,130,250,3,0.5,0.1,0.05
VAL,129,146,3,400,130,250,3,0.5,0.1,0.2
VAL,13,146,3,400,90,150,3,0.5,0.1,0.15000000000000002
VAL,121,146,3,150,90,150,3,0.7,0.1,0.1
VAL,89,146,3,200,100,150,3,0.7,0.1,0.2
VAL,5,146,3,350,100,200,3,0.7,0.1,0.1
VAL,144,146,3,100,100,250,3,0.7,0.1,0.15000000000000002
VAL,42,146,3,500,150,200,3,0.7,0.1,0.1
VAL,75,146,3,350,110,100,3,0.7,0.1,0.05
